251	250	-16	692
809	-581	232	175
-343	274	46	-307
763	-840	-238	209
-18	470	-460	-477
272	118	709	-973
-34	-182	359	674
-624	617	-388	-266
-558	577	568	-393
819	-490	-922	590
455	95	820	956
-27	-297	-801	-305
993	-281	493	-612
-759	583	-514	-287
-163	-643	-770	86
647	-152	-622	690
-923	847	-347	406
914	992	-926	359
843	53	-805	761
818	-929	-387	183
-530	367	960	-349
267	-422	276	-354
-376	-346	226	-629
-904	-368	540	570
-311	-963	-171	771
-784	-655	-208	-845
-638	127	45	-73
515	-965	310	622
243	-980	101	280
669	-461	-50	40
105	-738	739	205
196	263	-483	823
-344	379	545	-315
-905	-536	-326	-555
-443	910	-97	655
-817	787	-913	-295
-858	-910	387	926
-292	-783	497	-996
-682	495	-850	625
531	-952	588	369
-758	-318	330	897
-291	-600	-684	-496
271	564	-599	770
592	542	786	-589
100	-945	138	146
-85	-715	49	-73
-818	-684	-998	364
851	433	-573	624
494	-583	-289	700
925	799	-33	-52
249	-6	765	-466
-5	971	-567	102
-616	-422	-47	487
648	-428	-811	88
592	-164	62	-569
-45	-845	-772	-515
261	-304	-1000	-770
639	916	837	-551
-525	971	-861	-705
72	290	-728	-992
163	313	-438	130
22	250	-73	11
-583	-138	174	-59
-579	-963	302	-852
-409	303	7	-813
-831	-348	-705	618
213	541	-748	404
-561	-387	-573	658
71	49	278	328
-653	911	-485	825
205	-14	-965	-656
-786	675	-541	258
-553	953	-977	-656
902	-401	362	-784
-138	-681	87	346
-491	-744	595	-700
671	395	-809	106
833	654	229	-418
-662	-908	303	-482
982	912	62	614
-79	833	-176	544
699	-998	-759	-503
-554	548	935	-638
79	-242	-902	-242
-258	-677	399	-197
-393	-812	356	139
560	685	575	-558
892	-441	896	878
750	-740	747	84
-49	584	481	-792
-403	141	-27	530
490	34	493	-789
-442	-830	363	483
-380	-446	674	-821
-20	-450	409	959
318	999	-634	717
321	758	-200	109
-273	-241	-251	483
-169	230	-671	-971
85	-974	432	-172
-562	83	-240	-128
29	-722	776	340
-730	-506	-175	22
884	464	167	-307
-680	-351	282	-557
-742	960	990	-315
-398	-804	-744	902
724	-632	-783	661
505	525	548	-877
-849	262	999	-318
-98	-924	761	-395
321	569	-297	830
-698	-297	-382	504
-163	-440	-250	-158
311	-901	-392	310
50	964	-242	366
216	-19	465	211
238	-68	-327	-323
20	404	-723	-286
730	-848	139	-711
-175	-716	352	-107
128	174	385	-626
209	-202	686	-787
449	903	-740	574
-372	475	-97	862
861	-597	809	-5
663	-158	232	-845
-62	-187	142	-245
172	301	-121	324
-104	-542	452	654
385	-883	-760	491
-296	827	-428	178
368	391	-204	-204
-892	-235	-256	370
-236	-922	-444	-441
-114	198	8	-116
983	590	814	-400
-463	-591	281	133
554	92	255	-647
383	535	-14	-799
-397	-743	364	554
179	738	-181	317
-500	582	296	-456
501	-521	720	257
-796	289	-806	-27
623	-20	616	361
-123	-412	966	-830
-275	-306	377	737
907	-744	324	-372
-751	-685	404	987
-235	170	380	-147
136	954	-756	-252
902	-850	635	261
431	181	-146	-16
-815	-344	995	-97
-536	3	543	-591
-83	901	-728	-650
74	473	7	417
-536	209	-985	-535
-865	-655	155	-15
-59	-310	-828	-410
-619	349	-430	-154
541	484	-808	-501
846	-983	-812	-403
-950	904	419	-291
177	-716	30	-892
62	781	-666	-346
-685	-302	160	164
327	878	-260	142
-455	679	520	-394
-123	-752	-106	-681
565	-321	28	212
-7	423	835	-747
-945	47	-569	-989
578	778	-969	-68
336	-940	-939	45
334	-58	165	-470
-572	616	393	-52
780	-665	115	456
-537	-290	594	46
777	-368	611	-11
716	-959	-485	-221
350	-60	34	-733
-634	-431	-801	896
871	-54	733	932
-343	-241	637	428
-907	460	273	-563
570	438	628	-756
-280	-73	-981	93
584	773	945	-395
-400	-421	-456	7
562	-928	-408	-248
-678	375	300	-949
-87	-875	251	-7
608	371	-540	105
-572	-533	-879	-868
619	972	-910	-198
-734	929	-44	-221
-523	-536	622	-147
-224	-146	251	459
780	-192	530	-867
-347	30	-256	640
653	624	-762	398
402	-284	169	857
-135	736	-663	-820
753	-916	-655	-207
-16	849	-880	-97
-130	563	-497	460
-330	-668	229	-55
-804	-688	648	944
300	-6	-759	856
406	424	649	-419
-351	-373	846	-536
749	556	-716	568
894	730	-790	-633
-258	-939	-749	154
685	-947	839	-506
-79	-57	-15	722
43	804	305	-704
972	-142	10	343
-739	-30	-344	253
9	-733	295	510
521	116	521	-448
23	-466	929	58
465	183	-174	497
344	818	40	626
327	-810	632	872
770	-853	396	246
522	-310	11	-308
438	-541	512	380
626	585	553	-519
544	83	112	708
681	89	42	-56
232	-795	-116	-167
-285	-67	-844	312
170	-984	723	26
990	48	646	171
-85	535	831	-293
155	-64	-565	265
-696	-936	-127	50
675	890	978	71
833	-425	165	-611
72	858	676	-288
-822	595	99	174
214	-158	182	493
213	837	-176	129
-155	10	793	-35
722	-175	885	106
133	-72	1	-942
-253	-418	-75	816
873	-737	290	-801
337	-441	-662	521
878	256	127	-297
287	-36	937	-110
-331	185	244	-99
434	-204	-517	980
-149	7	371	509
664	-516	493	-783
-349	-393	994	62
-333	-202	-346	-247
-861	58	-819	120
-130	-834	-237	-506
574	-796	-445	-251
-566	242	-330	-736
982	-622	854	-493
-715	-581	776	764
-155	937	-791	547
-323	896	-620	-574
-395	952	591	-824
638	630	542	-249
246	-530	485	-340
-697	311	749	-134
505	-490	-709	-67
-70	-604	573	227
-463	-376	-791	-753
-39	118	838	-901
650	-239	158	923
512	-819	933	63
-94	-32	544	795
977	-914	685	-840
-249	881	-789	-797
-96	-16	400	773
-232	-127	790	-577
617	-939	188	-253
-126	-445	58	746
212	-395	136	138
-838	349	-132	276
887	-48	-552	652
589	309	622	-126
-418	213	-120	-835
-850	-546	-852	-35
548	568	-963	737
557	-209	693	437
-95	-931	-400	721
-3	270	-904	-326
339	-61	457	571
958	-961	-688	113
-377	57	428	380
-364	-303	-988	-265
691	-839	110	999
-13	-697	-361	-237
838	-335	-690	-92
-109	745	-491	-201
571	919	229	-505
-180	24	-326	545
134	-951	57	-518
-747	740	263	-116
-583	400	-942	-970
-896	-448	-231	-729
111	-441	-766	-129
613	669	-518	-900
-276	-90	998	-116
-829	-974	41	885
692	952	821	-961
422	996	-838	-954
-533	-716	-707	129
384	-882	-37	-966
-29	852	-32	427
-995	122	-846	-168
-663	606	-545	-528
-99	-600	-143	355
307	48	-712	-9
-905	-344	-881	-40
973	-763	-911	637
120	-131	340	635
88	-55	909	555
863	88	952	984
-316	883	834	-801
188	-102	684	673
-500	-123	-67	4
-196	-476	679	-674
-398	-713	33	653
118	-689	679	159
904	53	664	-655
818	-796	-832	42
-824	914	558	-107
-270	367	-436	966
573	486	-75	-598
37	-680	194	287
-954	50	551	601
551	688	-221	150
-65	407	-924	-448
-389	652	680	61
-114	-645	973	584
-998	-566	714	-42
-674	721	-218	-357
418	442	-849	-270
42	857	432	49
646	138	-8	502
-175	893	92	-420
130	367	-726	816
656	760	-944	895
743	-515	763	-132
-758	813	-400	-469
-654	-318	-551	-841
129	465	-238	-161
-599	-677	710	208
807	759	-700	905
-82	-943	-412	784
624	-70	10	44
-490	-996	-145	-881
322	-870	794	308
-519	-243	99	-198
