16	34	86	66	3	30	37
23	61	6	7	70	58	81
82	80	46	38	38	10	38
60	77	43	1	81	17	33
62	16	69	67	23	70	25
40	14	39	60	61	14	14
64	83	88	82	51	56	45
79	59	6	53	57	22	59
64	38	50	11	59	44	57
45	74	26	78	12	61	11
4	84	52	78	17	23	30
22	55	55	90	37	52	46
63	56	3	6	24	31	79
28	36	20	89	29	84	15
90	67	80	63	58	61	15
17	64	75	8	3	74	46
29	49	39	21	38	47	2
81	5	37	83	66	16	68
89	69	60	46	12	12	57
72	5	57	76	9	87	1
78	76	47	43	8	69	62
76	58	37	57	15	82	46
18	28	78	87	48	56	57
29	44	21	63	80	79	45
86	90	84	42	9	37	46
51	60	3	41	19	75	39
21	68	14	24	80	68	36
37	37	65	60	39	27	37
37	46	33	79	48	6	79
67	90	24	75	73	83	90
21	85	8	15	10	15	39
46	84	74	2	85	87	43
55	29	24	51	31	80	77
12	49	4	89	87	25	26
49	4	36	85	86	17	14
57	70	82	18	44	45	37
39	21	15	39	39	80	20
3	20	39	86	80	61	35
69	87	22	25	85	1	59
43	9	49	33	86	70	56
52	52	67	84	52	28	83
14	24	54	28	44	1	58
59	74	86	33	90	18	43
89	41	38	53	41	41	46
53	38	45	70	53	20	31
9	79	29	81	54	74	53
79	83	43	8	44	11	45
74	78	34	85	54	70	85
24	6	77	84	43	45	38
48	79	47	84	41	15	60
65	76	26	4	1	86	7
67	52	33	30	22	44	52
12	74	45	68	56	69	52
17	44	8	69	25	30	5
75	9	89	56	51	35	54
80	29	15	23	1	78	16
3	69	76	32	85	70	4
48	19	79	62	21	11	65
8	4	65	52	59	55	44
9	2	71	10	31	86	56
5	69	24	11	79	63	89
32	29	50	62	15	30	22
50	25	22	68	68	45	48
76	34	23	47	84	28	90
53	31	72	14	57	26	54
76	69	90	3	13	52	61
9	70	46	48	1	74	42
29	64	61	26	35	38	57
10	17	66	75	61	72	34
89	68	5	41	41	64	43
14	49	10	66	90	49	49
6	18	77	66	14	54	76
13	44	65	1	42	12	44
44	44	7	11	81	44	53
1	21	46	84	59	4	37
56	12	6	45	40	61	57
58	36	32	50	90	6	78
57	35	21	52	77	30	59
48	70	33	77	71	35	49
66	66	17	4	21	65	11
40	72	86	75	72	1	62
53	19	32	28	83	53	53
10	3	78	48	22	22	57
89	41	55	51	26	41	76
21	55	12	68	23	33	35
49	71	44	25	59	33	44
56	61	20	36	42	3	13
28	22	90	8	89	80	67
15	16	12	68	20	85	54
15	73	3	57	63	33	55
59	63	83	52	30	49	25
89	88	25	60	47	85	36
15	81	36	85	79	20	24
74	69	16	9	8	2	71
79	11	71	52	10	16	43
52	50	7	82	64	5	68
26	66	3	84	88	20	42
71	21	40	72	14	6	41
90	50	26	16	58	75	80
72	27	76	37	60	61	49
83	2	39	59	31	22	15
53	18	33	53	53	13	88
5	61	20	59	43	63	65
44	20	82	22	20	81	20
46	73	39	40	29	7	57
49	81	84	37	49	49	90
46	8	20	88	73	72	18
48	31	52	48	48	77	63
54	39	74	52	41	9	25
41	40	86	65	78	82	65
43	1	51	8	75	25	52
6	50	75	39	31	81	77
13	5	27	39	58	7	46
25	25	28	45	31	25	71
15	70	33	5	24	85	2
59	68	87	81	3	79	72
47	90	89	49	16	18	7
11	24	66	75	45	37	17
10	36	11	27	36	10	23
38	47	45	45	63	45	35
24	47	84	66	72	30	37
2	71	67	36	44	83	77
48	33	39	39	72	41	39
38	38	38	36	47	58	11
9	3	33	59	14	61	51
70	76	72	73	64	38	22
21	54	67	54	75	54	17
64	17	16	79	90	3	14
51	5	34	63	74	7	55
34	26	25	65	32	65	84
71	34	49	52	51	51	51
16	55	5	20	77	61	29
46	25	3	66	29	71	23
84	84	72	67	44	9	64
64	6	6	1	7	24	30
5	24	43	80	4	46	24
33	9	43	83	37	71	17
49	20	78	70	2	45	66
77	18	1	9	81	29	77
52	31	30	52	61	87	88
